"corpus","preloaded/ententen21_tt31"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
,,"Parliament",768,6.200
,,"China",2361,6.190
,,"Spirit",688,6.160
,,"body",1187,6.110
,,"State",1068,6.110
,,"sun",804,6.110
,,"computer",750,6.060
,,"man",3728,6.040
,,"Europe",940,5.810
,,"trustee",539,5.740
,,"enemy",659,5.700
,,"agency",803,5.690
,,"buddha",558,5.680
,,"union",553,5.650
,,"America",1899,5.640
,,"authority",535,5.640
,,"witch",509,5.620
,,"board",573,5.590
,,"consumer",644,5.590
,,"Commissioner",510,5.590
,,"creature",491,5.580
,,"car",664,5.550
,,"Board",562,5.530
,,"Iran",811,5.510
,,"Governor",622,5.510
,,"mind",497,5.490
,,"States",530,5.460
,,"hero",509,5.460
,,"medium",495,5.460
,,"legislature",431,5.460
,,"Minister",537,5.430
,,"emperor",488,5.420
,,"system",620,5.400
,,"dollar",429,5.400
,,"Council",646,5.370
,,"woman",2937,5.340
,,"EU",521,5.340
,,"sin",372,5.300
,,"Russia",710,5.290
,,"devil",529,5.290
,,"Allah",426,5.280
,,"executive",381,5.280
,,"region",677,5.270
,,"Senate",402,5.270
,,"art",379,5.260
,,"country",1854,5.220
,,"nation",1275,5.190
,,"Church",449,5.170
,,"Elsa",340,5.170
,,"regulator",340,5.110
,,"weapon",337,5.110
,,"ship",537,5.100
,,"opponent",450,5.080
,,"film",698,5.060
,,"soul",347,5.050
,,"love",325,5.050
,,"Wanda",312,5.040
,,"individual",626,5.010
,,"judge",435,5.010
power,"pronominal possessors of X",,1318937,6.620
,,"its",262813,6.990
,,"his",357966,6.440
,,"their",317810,6.380
,,"thy",4718,6.260
,,"her",127123,6.110
power,"X of ...",,1876570,9.420
,,"attorney",45447,9.530
,,"God",45455,8.300
,,"Spirit",15072,7.940
,,"love",18396,7.720
,,"government",22666,7.690
,,"spirit",14328,7.650
,,"state",22372,7.490
,,"mind",15855,7.430
,,"Attorney",9353,7.330
,,"word",14581,7.290
,,"medium",12091,7.260
,,"Internet",9573,7.160
,,"music",13324,7.080
,,"prayer",8364,7.050
,,"darkness",8190,7.010
,,"court",9482,6.990
,,"technology",12247,6.880
,,"imagination",7208,6.850
,,"nature",10050,6.820
,,"observation",6771,6.740
,,"art",9163,6.480
,,"Congress",6662,6.470
,,"persuasion",4934,6.390
,,"watt",4853,6.380
,,"thought",6375,6.380
,,"sin",5422,6.330
,,"Christ",7237,6.310
,,"thinking",5104,6.250
,,"god",4733,6.160
,,"language",6052,6.160
,,"appointment",4339,6.160
,,"storytelling",4219,6.140
,,"voice",4695,6.130
,,"engine",4597,6.090
,,"speech",4832,6.080
,,"domain",4130,6.050
,,"gospel",4215,6.050
,,"sun",4104,6.000
,,"purse",3668,5.990
,,"suggestion",3692,5.950
,,"story",6377,5.940
,,"evil",3997,5.940
,,"Satan",3644,5.940
,,"office",4401,5.900
,,"corporation",3743,5.870
,,"computer",3941,5.860
,,"datum",7244,5.850
,,"community",6643,5.840
,,"choice",4800,5.790
,,"resurrection",3287,5.790
,,"soul",3861,5.780
,,"sale",4085,5.750
,,"Court",3957,5.750
,,"will",3456,5.740
,,"faith",4205,5.730
,,"friendship",3280,5.730
,,"idea",4257,5.670
,,"arrest",3090,5.670
,,"network",3864,5.660
,,"union",3335,5.660
,,"money",5400,5.650
,,"authority",3629,5.650
,,"image",4042,5.590
,,"collaboration",2970,5.540
,,"man",6204,5.530
,,"States",4119,5.530
,,"education",4225,5.520
,,"world",6850,5.500
,,"sport",3029,5.490
,,"platform",3029,5.470
,,"ghost",2645,5.460
,,"kW",2551,5.460
,,"truth",3252,5.440
,,"death",4251,5.430
,,"concentration",2644,5.420
,,"ai",2515,5.400
,,"king",2697,5.380
,,"creation",2849,5.370
,,"individual",3605,5.360
,,"woman",4663,5.330
,,"science",3386,5.310
,,"machine",2811,5.290
,,"air",2725,5.290
,,"system",6013,5.290
,,"force",3290,5.270
,,"people",11585,5.260
,,"body",3879,5.260
,,"reason",2998,5.260
,,"enemy",2501,5.260
,,"President",2394,5.240
,,"expression",2680,5.220
,,"heaven",2513,5.220
,,"wind",2381,5.220
,,"president",2335,5.210
,,"light",3221,5.180
,,"movement",3182,5.180
,,"marketing",2341,5.180
,,"supplier",2143,5.160
,,"review",2483,5.150
,,"perception",2183,5.150
power,"... of X",,1819253,9.140
,,"abuse",54889,9.730
,,"balance",56596,9.690
,,"exercise",51254,9.670
,,"position",48035,9.150
,,"separation",28718,8.860
,,"source",40367,8.220
,,"transfer",18037,8.050
,,"watt",12822,7.830
,,"loss",22654,7.720
,,"amount",45871,7.580
,,"seat",11408,7.520
,,"height",11757,7.370
,,"seizure",9000,7.290
,,"concentration",10649,7.250
,,"corridor",8489,7.230
,,"symbol",9330,7.100
,,"use",37851,7.050
,,"distribution",10141,7.020
,,"transition",6598,6.850
,,"megawatt",6354,6.820
,,"plenty",14027,6.780
,,"display",7033,6.740
,,"lever",6005,6.740
,,"misuse",6091,6.700
,,"peak",5890,6.600
,,"devolution",5382,6.590
,,"MW",5336,6.560
,,"lack",16787,6.550
,,"expansion",6523,6.530
,,"center",8295,6.500
,,"rein",4987,6.470
,,"imbalance",4910,6.450
